label,importance_type,feature_index,importance
cv_168h_fold3,patch_attention,1,0.011068138293921947
cv_168h_fold3,patch_attention,2,0.017561282962560654
cv_168h_fold3,patch_attention,3,0.010100902058184147
cv_168h_fold3,patch_attention,4,0.022401921451091766
cv_168h_fold3,patch_attention,5,0.03408971428871155
cv_168h_fold3,patch_attention,6,0.02695963717997074
cv_168h_fold3,patch_attention,7,0.06724667549133301
cv_168h_fold3,patch_attention,8,0.06299847364425659
cv_168h_fold3,patch_attention,9,0.026806268841028214
cv_168h_fold3,patch_attention,10,0.023779094219207764
cv_168h_fold3,patch_attention,11,0.014969426207244396
cv_168h_fold3,patch_attention,12,0.02447596937417984
cv_168h_fold3,patch_attention,13,0.03770061209797859
cv_168h_fold3,patch_attention,14,0.021990207955241203
cv_168h_fold3,patch_attention,15,0.043394964188337326
cv_168h_fold3,patch_attention,16,0.04707419499754906
cv_168h_fold3,patch_attention,17,0.021344270557165146
cv_168h_fold3,patch_attention,18,0.014413614757359028
cv_168h_fold3,patch_attention,19,0.014739667996764183
cv_168h_fold3,patch_attention,20,0.026904573664069176
cv_168h_fold3,patch_attention,21,0.011056888848543167
cv_168h_fold3,patch_attention,22,0.018961958587169647
cv_168h_fold3,patch_attention,23,0.005261464975774288
cv_168h_fold3,patch_attention,24,0.04256097972393036
cv_168h_fold3,patch_attention,25,0.01983468607068062
cv_168h_fold3,patch_attention,26,0.011327438987791538
cv_168h_fold3,patch_attention,27,0.0196551363915205
cv_168h_fold3,patch_attention,28,0.035835180431604385
cv_168h_fold3,patch_attention,29,0.028274016454815865
cv_168h_fold3,patch_attention,30,0.014917480759322643
cv_168h_fold3,patch_attention,31,0.009353764355182648
cv_168h_fold3,patch_attention,32,0.030164608731865883
cv_168h_fold3,patch_attention,33,0.023114362731575966
cv_168h_fold3,patch_attention,34,0.013490593060851097
cv_168h_fold3,patch_attention,35,0.01847132481634617
cv_168h_fold3,patch_attention,36,0.015243920497596264
cv_168h_fold3,patch_attention,37,0.017200328409671783
cv_168h_fold3,patch_attention,38,0.014245625585317612
cv_168h_fold3,patch_attention,39,0.009304096922278404
cv_168h_fold3,patch_attention,40,0.02568145841360092
cv_168h_fold3,patch_attention,41,0.021911311894655228
cv_720h_fold1,patch_attention,0,0.0033846041187644005
cv_720h_fold1,patch_attention,1,0.008553190156817436
cv_720h_fold1,patch_attention,2,0.020522842183709145
cv_720h_fold1,patch_attention,3,0.0046048094518482685
cv_720h_fold1,patch_attention,4,0.04167556390166283
cv_720h_fold1,patch_attention,5,0.002913802396506071
cv_720h_fold1,patch_attention,6,0.005231523886322975
cv_720h_fold1,patch_attention,7,0.0019837443251162767
cv_720h_fold1,patch_attention,8,0.002902782754972577
cv_720h_fold1,patch_attention,9,0.009548596106469631
cv_720h_fold1,patch_attention,10,0.0041298652067780495
cv_720h_fold1,patch_attention,11,0.0028340660501271486
cv_720h_fold1,patch_attention,12,0.0031689321622252464
cv_720h_fold1,patch_attention,13,0.0064984471537172794
cv_720h_fold1,patch_attention,14,0.0029416910838335752
cv_720h_fold1,patch_attention,15,0.01872881129384041
cv_720h_fold1,patch_attention,16,0.006484099663794041
cv_720h_fold1,patch_attention,17,0.006390171125531197
cv_720h_fold1,patch_attention,18,0.005032223183661699
cv_720h_fold1,patch_attention,19,0.004993053153157234
cv_720h_fold1,patch_attention,20,0.0029409904964268208
cv_720h_fold1,patch_attention,21,0.0028201916720718145
cv_720h_fold1,patch_attention,22,0.003438464365899563
cv_720h_fold1,patch_attention,23,0.005656554829329252
cv_720h_fold1,patch_attention,24,0.002967002335935831
cv_720h_fold1,patch_attention,25,0.0038594906218349934
cv_720h_fold1,patch_attention,26,0.006955084856599569
cv_720h_fold1,patch_attention,27,0.004543385002762079
cv_720h_fold1,patch_attention,28,0.00670842919498682
cv_720h_fold1,patch_attention,29,0.015348267741501331
cv_720h_fold1,patch_attention,30,0.005974087864160538
cv_720h_fold1,patch_attention,31,0.0058625428937375546
cv_720h_fold1,patch_attention,32,0.007059920113533735
cv_720h_fold1,patch_attention,33,0.004159733187407255
cv_720h_fold1,patch_attention,34,0.007854952476918697
cv_720h_fold1,patch_attention,35,0.021775398403406143
cv_720h_fold1,patch_attention,36,0.005061033181846142
cv_720h_fold1,patch_attention,37,0.00807733740657568
cv_720h_fold1,patch_attention,38,0.0025643983390182257
cv_720h_fold1,patch_attention,39,0.0027367258444428444
cv_720h_fold1,patch_attention,40,0.00267647672444582
cv_720h_fold1,patch_attention,41,0.0023944485001266003
cv_720h_fold1,patch_attention,42,0.0037698266096413136
cv_720h_fold1,patch_attention,43,0.00254776980727911
cv_720h_fold1,patch_attention,44,0.0026272148825228214
cv_720h_fold1,patch_attention,45,0.002680540783330798
cv_720h_fold1,patch_attention,46,0.0023281536996364594
cv_720h_fold1,patch_attention,47,0.0026011019945144653
cv_720h_fold1,patch_attention,48,0.0030811233446002007
cv_720h_fold1,patch_attention,49,0.0028322525322437286
cv_720h_fold1,patch_attention,50,0.003296353854238987
cv_720h_fold1,patch_attention,51,0.002761827316135168
cv_720h_fold1,patch_attention,52,0.0029152152128517628
cv_720h_fold1,patch_attention,53,0.0021280809305608273
cv_720h_fold1,patch_attention,54,0.0028965796809643507
cv_720h_fold1,patch_attention,55,0.002547077601775527
cv_720h_fold1,patch_attention,56,0.003611224004998803
cv_720h_fold1,patch_attention,57,0.003339573508128524
cv_720h_fold1,patch_attention,58,0.004240692593157291
cv_720h_fold1,patch_attention,59,0.003929096274077892
cv_720h_fold1,patch_attention,60,0.002698203083127737
cv_720h_fold1,patch_attention,61,0.0029552539344877005
cv_720h_fold1,patch_attention,62,0.0032506186980754137
cv_720h_fold1,patch_attention,63,0.0026553822681307793
cv_720h_fold1,patch_attention,64,0.0025036835577338934
cv_720h_fold1,patch_attention,65,0.0022016316652297974
cv_720h_fold1,patch_attention,66,0.004452697467058897
cv_720h_fold1,patch_attention,67,0.0034860277082771063
cv_720h_fold1,patch_attention,68,0.005094124469906092
cv_720h_fold1,patch_attention,69,0.002568607684224844
cv_720h_fold1,patch_attention,70,0.00304536079056561
cv_720h_fold1,patch_attention,71,0.0034793526865541935
cv_720h_fold1,patch_attention,72,0.0023190458305180073
cv_720h_fold1,patch_attention,73,0.003675005165860057
cv_720h_fold1,patch_attention,74,0.0031076546292752028
cv_720h_fold1,patch_attention,75,0.0025344747118651867
cv_720h_fold1,patch_attention,76,0.004055544268339872
cv_720h_fold1,patch_attention,77,0.01893029175698757
cv_720h_fold1,patch_attention,78,0.012145825661718845
cv_720h_fold1,patch_attention,79,0.015220913104712963
cv_720h_fold1,patch_attention,80,0.002535330830141902
cv_720h_fold1,patch_attention,81,0.002578394953161478
cv_720h_fold1,patch_attention,82,0.003396126441657543
cv_720h_fold1,patch_attention,83,0.004160752985626459
cv_720h_fold1,patch_attention,84,0.004055705852806568
cv_720h_fold1,patch_attention,85,0.006026385817676783
cv_720h_fold1,patch_attention,86,0.005581498611718416
cv_720h_fold1,patch_attention,87,0.003943881951272488
cv_720h_fold1,patch_attention,88,0.010664294473826885
cv_720h_fold1,patch_attention,89,0.002606727182865143
cv_720h_fold1,patch_attention,90,0.004617159254848957
cv_720h_fold1,patch_attention,91,0.005601679906249046
cv_720h_fold1,patch_attention,92,0.0022478655446320772
cv_720h_fold1,patch_attention,93,0.009633740410208702
cv_720h_fold1,patch_attention,94,0.0029027359560132027
cv_720h_fold1,patch_attention,95,0.0024597994051873684
cv_720h_fold1,patch_attention,96,0.00217587617225945
cv_720h_fold1,patch_attention,97,0.013033358380198479
cv_720h_fold1,patch_attention,98,0.004337457939982414
cv_720h_fold1,patch_attention,99,0.0030976550187915564
cv_720h_fold1,patch_attention,100,0.004302937537431717
cv_720h_fold1,patch_attention,101,0.0035229914356023073
cv_720h_fold1,patch_attention,102,0.00246244203299284
cv_720h_fold1,patch_attention,103,0.002135329646989703
cv_720h_fold1,patch_attention,104,0.004521992057561874
cv_720h_fold1,patch_attention,105,0.015818748623132706
cv_720h_fold1,patch_attention,106,0.007344537414610386
cv_720h_fold1,patch_attention,107,0.007340819574892521
cv_720h_fold1,patch_attention,108,0.005964263807982206
cv_720h_fold1,patch_attention,109,0.0040304274298250675
cv_720h_fold1,patch_attention,110,0.0033033275976777077
cv_720h_fold1,patch_attention,111,0.005009251181036234
cv_720h_fold1,patch_attention,112,0.002498745685443282
cv_720h_fold1,patch_attention,113,0.0024337766226381063
cv_720h_fold1,patch_attention,114,0.003578229108825326
cv_720h_fold1,patch_attention,115,0.0023909101728349924
cv_720h_fold1,patch_attention,116,0.00260916561819613
cv_720h_fold1,patch_attention,117,0.00363486772403121
cv_720h_fold1,patch_attention,118,0.00727902352809906
cv_720h_fold1,patch_attention,119,0.008542300201952457
cv_720h_fold1,patch_attention,120,0.0029800827614963055
cv_720h_fold1,patch_attention,121,0.004699592478573322
cv_720h_fold1,patch_attention,122,0.002408155705779791
cv_720h_fold1,patch_attention,123,0.0022972971200942993
cv_720h_fold1,patch_attention,124,0.002809150144457817
cv_720h_fold1,patch_attention,125,0.0024432502686977386
cv_720h_fold1,patch_attention,126,0.0030552269890904427
cv_720h_fold1,patch_attention,127,0.002737208502367139
cv_720h_fold1,patch_attention,128,0.0028209646698087454
cv_720h_fold1,patch_attention,129,0.0032864855602383614
cv_720h_fold1,patch_attention,130,0.004532409831881523
cv_720h_fold1,patch_attention,131,0.003752480261027813
cv_720h_fold1,patch_attention,132,0.004127224441617727
cv_720h_fold1,patch_attention,133,0.0030913869850337505
cv_720h_fold1,patch_attention,134,0.007739011663943529
cv_720h_fold1,patch_attention,135,0.0036649839021265507
cv_720h_fold1,patch_attention,136,0.002901211380958557
cv_720h_fold1,patch_attention,137,0.004924064967781305
cv_720h_fold1,patch_attention,138,0.004732636734843254
cv_720h_fold1,patch_attention,139,0.03393809124827385
cv_720h_fold1,patch_attention,140,0.009437207132577896
cv_720h_fold1,patch_attention,141,0.012823536060750484
cv_720h_fold1,patch_attention,142,0.02158191241323948
cv_720h_fold1,patch_attention,143,0.015697430819272995
cv_720h_fold1,patch_attention,144,0.009124399162828922
cv_720h_fold1,patch_attention,145,0.003873306093737483
cv_720h_fold1,patch_attention,146,0.003061901777982712
cv_720h_fold1,patch_attention,147,0.0043586911633610725
cv_720h_fold1,patch_attention,148,0.0023392485454678535
cv_720h_fold1,patch_attention,149,0.00693078339099884
cv_720h_fold1,patch_attention,150,0.004818236920982599
cv_720h_fold1,patch_attention,151,0.009106967598199844
cv_720h_fold1,patch_attention,152,0.005816416349261999
cv_720h_fold1,patch_attention,153,0.0062353345565497875
cv_720h_fold1,patch_attention,154,0.005672705825418234
cv_720h_fold1,patch_attention,155,0.00364483124576509
cv_720h_fold1,patch_attention,156,0.0035192330833524466
cv_720h_fold1,patch_attention,157,0.005059545394033194
cv_720h_fold1,patch_attention,158,0.007955116219818592
cv_720h_fold1,patch_attention,159,0.005360143259167671
cv_720h_fold1,patch_attention,160,0.00392915029078722
cv_720h_fold1,patch_attention,161,0.00420452281832695
cv_720h_fold1,patch_attention,162,0.0037921066395938396
cv_720h_fold1,patch_attention,163,0.00368540920317173
cv_720h_fold1,patch_attention,164,0.004916453268378973
cv_720h_fold1,patch_attention,165,0.0032463069073855877
cv_720h_fold1,patch_attention,166,0.00268708448857069
cv_720h_fold1,patch_attention,167,0.0036253086291253567
cv_720h_fold1,patch_attention,168,0.0031714322976768017
cv_720h_fold1,patch_attention,169,0.004145609214901924
cv_720h_fold1,patch_attention,170,0.00876736082136631
cv_720h_fold1,patch_attention,171,0.0035125489812344313
cv_720h_fold1,patch_attention,172,0.0031151040457189083
cv_720h_fold1,patch_attention,173,0.006657423451542854
cv_720h_fold1,patch_attention,174,0.007624119520187378
cv_720h_fold1,patch_attention,175,0.005231487099081278
cv_720h_fold1,patch_attention,176,0.005390477366745472
cv_720h_fold1,patch_attention,177,0.00911136157810688
