label,importance_type,patch_index,importance
cv_168h_fold2,patch_attention_layer1,29,0.013440624810755253
cv_168h_fold2,patch_attention_layer1,30,0.028024619445204735
cv_168h_fold2,patch_attention_layer1,31,0.013795474544167519
cv_168h_fold2,patch_attention_layer1,32,0.0350535586476326
cv_168h_fold2,patch_attention_layer1,33,0.002487322548404336
cv_168h_fold2,patch_attention_layer1,34,0.014529170468449593
cv_168h_fold2,patch_attention_layer1,35,0.008834142237901688
cv_168h_fold2,patch_attention_layer1,36,0.013559704646468163
cv_168h_fold2,patch_attention_layer1,37,0.015339948236942291
cv_168h_fold2,patch_attention_layer1,38,0.008805044926702976
cv_168h_fold2,patch_attention_layer1,39,0.005384376272559166
cv_168h_fold2,patch_attention_layer1,40,0.0012841917341575027
cv_168h_fold2,patch_attention_layer1,41,0.018129462376236916
cv_168h_fold3,patch_attention_layer1,0,0.07189212739467621
cv_168h_fold3,patch_attention_layer1,1,0.005316624883562326
cv_168h_fold3,patch_attention_layer1,2,0.002280736807733774
cv_168h_fold3,patch_attention_layer1,3,0.0005704730865545571
cv_168h_fold3,patch_attention_layer1,4,0.0032930923625826836
cv_168h_fold3,patch_attention_layer1,5,0.06160321086645126
cv_168h_fold3,patch_attention_layer1,6,0.030437560752034187
cv_168h_fold3,patch_attention_layer1,7,0.05283329263329506
cv_168h_fold3,patch_attention_layer1,8,0.0723007395863533
cv_168h_fold3,patch_attention_layer1,9,0.08603456616401672
cv_168h_fold3,patch_attention_layer1,10,0.024043681100010872
cv_168h_fold3,patch_attention_layer1,11,0.01796879805624485
cv_168h_fold3,patch_attention_layer1,12,0.007352559361606836
cv_168h_fold3,patch_attention_layer1,13,0.010546441189944744
cv_168h_fold3,patch_attention_layer1,14,0.014589832164347172
cv_168h_fold3,patch_attention_layer1,15,0.035496149212121964
cv_168h_fold3,patch_attention_layer1,16,0.01540155615657568
cv_168h_fold3,patch_attention_layer1,17,0.024410126730799675
cv_168h_fold3,patch_attention_layer1,18,0.001208099420182407
cv_168h_fold3,patch_attention_layer1,19,0.012221351265907288
cv_168h_fold3,patch_attention_layer1,20,0.00037501321639865637
cv_168h_fold3,patch_attention_layer1,21,0.014666021801531315
