horizon,fold,run,mae,rmse,smape,val_loss
24,1,1,4302.41796875,5646.81689453125,0.11128558963537216,2905.60400390625
24,1,1,4311.38330078125,5737.7783203125,0.1106536015868187,2895.558349609375
24,1,2,4017.280029296875,5359.287109375,0.1041543260216713,2643.965087890625
24,1,3,4030.553955078125,5328.28564453125,0.10479409992694855,2679.331298828125
24,2,1,5122.83251953125,6812.89208984375,0.14654147624969482,3526.2314453125
24,2,2,5115.47705078125,6828.3857421875,0.14498388767242432,3488.099365234375
24,2,3,4936.52783203125,6603.46630859375,0.14286288619041443,3330.660888671875
24,3,1,4723.3505859375,6401.94384765625,0.142031729221344,3103.263427734375
24,3,2,4793.8984375,6546.93994140625,0.14559951424598694,3189.71240234375
24,3,3,4783.2763671875,6530.40869140625,0.14504240453243256,3191.984130859375
168,1,1,6404.62255859375,8314.6591796875,0.16168808937072754,4187.89111328125
