horizon,fold,run,mae,rmse,smape,val_loss
24,1,1,4153.11279296875,5475.14990234375,0.1054549515247345,2710.0263671875
24,1,2,4172.31494140625,5556.201171875,0.10795270651578903,2788.5390625
24,1,3,4178.55517578125,5495.46142578125,0.10829578340053558,2747.822021484375
24,2,1,5158.0537109375,6838.830078125,0.14507494866847992,3445.697998046875
24,2,2,4806.48974609375,6397.41552734375,0.13702048361301422,3206.841064453125
24,2,3,4923.51953125,6598.6162109375,0.14082294702529907,3242.12353515625
24,3,1,4781.38818359375,6504.61767578125,0.1441570371389389,3124.7158203125
24,3,2,4625.734375,6330.18505859375,0.1403377801179886,3063.780517578125
24,3,3,4515.103515625,6099.32861328125,0.13784518837928772,2938.05908203125
168,1,1,5730.111328125,7324.31884765625,0.14489693939685822,3661.987060546875
24,1,1,4237.31494140625,5611.0625,0.10920095443725586,2765.2919921875
24,1,2,4152.560546875,5483.126953125,0.10786409676074982,2697.1083984375
24,1,3,3995.6865234375,5263.49951171875,0.10365822911262512,2626.05615234375
24,2,1,5030.38818359375,6638.12451171875,0.14314793050289154,3321.298095703125
24,2,2,4898.951171875,6559.29541015625,0.14013633131980896,3233.847900390625
24,2,3,4738.2646484375,6361.51904296875,0.13597768545150757,3137.55615234375
24,3,1,4627.75634765625,6320.68359375,0.14059986174106598,3005.014404296875
24,3,2,4442.4970703125,6004.115234375,0.13517482578754425,2847.677001953125
24,3,3,4658.3701171875,6347.90283203125,0.14122755825519562,3039.802978515625
168,1,1,6527.626953125,8076.69921875,0.16205620765686035,4020.2626953125
