horizon,fold,run,mae,rmse,smape,val_loss
24,1,1,4226.58447265625,5629.453125,0.1080031543970108,2822.316162109375
24,1,1,4206.642578125,5437.43701171875,0.10826621949672699,2720.863525390625
24,1,2,4145.59033203125,5448.80859375,0.1064758151769638,2707.692626953125
24,1,3,4195.1884765625,5508.93115234375,0.1068434938788414,2728.2421875
24,2,1,4982.6513671875,6630.8671875,0.1418580263853073,3321.38720703125
24,2,2,4845.41162109375,6418.201171875,0.13803783059120178,3164.634765625
24,2,3,4670.96240234375,6306.560546875,0.13448762893676758,3073.058837890625
24,3,1,4927.013671875,6722.029296875,0.14862823486328125,3233.25634765625
24,3,2,4705.99169921875,6410.48876953125,0.14243295788764954,3063.279296875
24,3,3,4577.4970703125,6303.78857421875,0.13848012685775757,2972.781494140625
168,1,1,6179.39990234375,8040.39013671875,0.15791310369968414,4109.87255859375
168,1,2,6178.501953125,7908.23828125,0.15540899336338043,4016.694580078125
168,1,3,5758.94189453125,7411.6064453125,0.1450718343257904,3732.0498046875
168,2,1,7141.283203125,9403.890625,0.19435560703277588,4783.51416015625
168,2,2,6783.8642578125,8821.4443359375,0.18668994307518005,4476.17822265625
168,2,3,7066.1162109375,9256.8916015625,0.19364851713180542,4729.27099609375
168,3,1,6950.52587890625,9434.8681640625,0.20075391232967377,4583.26904296875
168,3,2,7515.197265625,10310.2666015625,0.21098822355270386,5188.8642578125
168,3,3,6799.82861328125,9145.607421875,0.19601333141326904,4498.7109375
720,1,1,6598.5703125,8683.7705078125,0.16846024990081787,4230.24560546875
720,1,2,6045.3720703125,8128.4072265625,0.15173974633216858,3997.1279296875
720,1,3,5709.65087890625,7440.10400390625,0.14353753626346588,3717.01123046875
720,2,1,7900.60595703125,10124.7080078125,0.21158723533153534,5295.7138671875
720,2,2,7769.12158203125,10184.8330078125,0.20911690592765808,5148.12109375
720,2,3,7846.3134765625,10165.3974609375,0.2110074907541275,5223.22412109375
720,3,1,7707.70849609375,10668.763671875,0.21798139810562134,5217.8134765625
720,3,2,8098.48974609375,11142.5205078125,0.22801420092582703,5456.31884765625
720,3,3,7724.72265625,10492.462890625,0.22180934250354767,5212.4697265625
24,1,1,4160.85400390625,5515.33935546875,0.10696328431367874,2786.083740234375
24,1,2,4187.03955078125,5447.79638671875,0.10784651339054108,2817.392333984375
24,1,3,4222.75634765625,5527.25048828125,0.10862205177545547,2812.5087890625
24,2,1,5297.96484375,7051.4599609375,0.14931997656822205,3662.889404296875
24,2,2,5066.4814453125,6670.72705078125,0.14438430964946747,3423.441162109375
24,2,3,4873.64111328125,6599.1005859375,0.13928481936454773,3300.988037109375
24,3,1,4804.75,6491.14453125,0.14469677209854126,3220.23291015625
24,3,2,4763.49560546875,6391.1650390625,0.14563825726509094,3115.74951171875
24,3,3,4756.837890625,6520.0302734375,0.14269165694713593,3133.976806640625
168,1,1,6273.93994140625,8309.453125,0.15977101027965546,4269.5205078125
168,1,2,6527.85986328125,8836.0849609375,0.1654571145772934,4445.068359375
168,1,3,6540.1826171875,8380.03515625,0.16738073527812958,4319.501953125
168,2,1,7170.3818359375,9382.6865234375,0.19448493421077728,5061.05029296875
168,2,2,7331.88330078125,9644.490234375,0.20099207758903503,5138.7880859375
168,2,3,7331.9111328125,9496.904296875,0.20036464929580688,5083.89697265625
168,3,1,6913.25048828125,9292.544921875,0.19956821203231812,4687.10546875
168,3,2,6963.98291015625,9257.400390625,0.20202386379241943,4671.2392578125
168,3,3,7619.6572265625,10345.8681640625,0.2146405279636383,5220.1494140625
720,1,1,6858.87744140625,9093.1513671875,0.17714446783065796,4878.90625
720,1,2,6767.32373046875,9048.2001953125,0.1728152334690094,4601.13037109375
720,1,3,5776.9462890625,7497.626953125,0.1452208310365677,3754.588134765625
720,2,1,8316.294921875,10730.869140625,0.2210421860218048,5979.21435546875
720,2,2,8305.3037109375,10734.578125,0.22210876643657684,5989.5654296875
720,2,3,8070.55859375,10474.8388671875,0.2168584167957306,5578.40673828125
720,3,1,7700.671875,10429.462890625,0.22118891775608063,5187.58740234375
720,3,2,7835.408203125,10518.376953125,0.2242336869239807,5299.95751953125
720,3,3,8079.4248046875,11036.927734375,0.227045476436615,5773.025390625
